============================================================================================
 Z=0 branch classification via ab initio (a, b) prediction
============================================================================================

Loading candidates from baryon_candidates_cache.pkl ...
  loaded 145 states

  symbol          P  qx    N        M_t   KB   Q*  κ*     f_imp   f_pred     |Δf|   class
  Ξ(1820)±        1  +1   10  1810.8367    9    1   1   +0.2571  +0.3085   0.0514     z≠0
  Ξ(1940)⁰        1  +0   19  1944.8454   59    1   0   +0.7462  +0.6198   0.1264     z≠0
  Ξ(1940)±        1  +1   13  1945.2579   27    1   1   +0.3594  +0.3238   0.0356     z=0
  Ξ(2030)⁰        1  +0   25  2027.8157   -4    1   0   +0.8430  +0.7073   0.1356     z≠0
  Ξ(2030)±        1  +1   19  2037.5528   -3    1   1   +0.4426  +0.3491   0.0935     z≠0
  Ξ(2250)⁰        1  +0   31  2247.4841   65    1   0   +0.9391  +0.7933   0.1458     z≠0
  Ξ(2250)±        1  +1   24  2241.9080   -4    1   1   +0.5103  +0.3678   0.1426     z≠0
  Ξ(2500)⁰        1  +0   42  2481.8202   42    1   0   +1.1115  +0.9489   0.1627     z≠0
  Ξ(2500)±        1  +1   35  2517.9008   13    1   0   +1.1284  +0.8884   0.2400     z≠0
  Δ(1650)         3  +0   44  1651.0807   11    3   1   -0.0482  +0.4827   0.5309     z≠0
  Δ(1670)         3  +0   48  1678.6242   44    3   1   +0.0115  +0.4701   0.4586     z≠0
  Δ(1690)         3  +0   71  1690.0383    0    3   1   +0.0144  +0.3952   0.3808     z≠0
  Δ(1890)         3  +0  124  1887.9876    1    3   1   +0.1136  +0.2167   0.1031     z≠0
  Δ(1900)         3  +0  125  1900.8602   56    3   1   +0.0592  +0.2133   0.1541     z≠0
  Δ(1910)         3  +0  129  1915.2764  -27    3   1   +0.1193  +0.1997   0.0803     z≠0
  Δ(1950)         3  +0  134  1949.2695   59    3   1   +0.1278  +0.1827   0.0549     z≠0
  Δ(1960)         3  +0  137  1965.3571   38    3   1   +0.1312  +0.1725   0.0412     z=0
  Δ(2160)         3  +0  211  2153.9221   33    3   1   +0.1699  -0.0805   0.2504     z≠0
  Δ(2420)         3  +0  302  2422.5186   12    1   1   -0.9954  -0.3926   0.6028     z≠0
  Δ(2850)         3  +0  419  2856.6694   63    1   1   -0.9949  -0.7945   0.2004     z≠0
  Δ(3230)         3  +0  572  3229.6911   34    1   1   -0.9944  -1.3205   0.3261     z≠0
  Σ(1385)⁻        2  -1   13  1383.0000   11    1   0   +0.0627  +0.6101   0.5474     z≠0
  Σ(1385)⁰        2  +0    6  1382.0000   59    1   0   +0.0631  +0.4868   0.4237     z≠0
  Σ(1385)⁺        2  +1   13  1386.0000   22    1   0   +0.0670  +0.6101   0.5431     z≠0
  Σ(1440)⁻        2  -1   16  1441.0000    9    1   0   +0.0781  +0.6436   0.5655     z≠0
  Σ(1440)⁰        2  +0    8  1434.0000   71    1   0   +0.0772  +0.5189   0.4416     z≠0
  Σ(1440)⁺        2  +1   16  1441.0000   -5    1   0   +0.1438  +0.6436   0.4998     z≠0
  Σ(1480)⁻        2  -1   18  1492.0000   64    1   0   +0.1546  +0.6648   0.5101     z≠0
  Σ(1480)⁰        2  +0   20  1490.0000   12    1   0   +0.1572  +0.6465   0.4893     z≠0
  Σ(1480)⁺        2  +1   18  1489.0000   52    1   0   +0.1580  +0.6648   0.5067     z≠0
  Σ(1620)⁻        2  -1   32  1624.0000   18    1   0   +0.2558  +0.8017   0.5459     z≠0
  Σ(1620)⁰        2  +0   35  1622.0000   10    1   0   +0.2587  +0.7755   0.5168     z≠0
  Σ(1620)⁺        2  +1   32  1616.0000   20    1   0   +0.2567  +0.8017   0.5450     z≠0
  Σ(1670)⁻        2  -1   34  1664.0000    8    1   0   +0.2701  +0.8205   0.5504     z≠0
  Σ(1670)⁰        2  +0   27  1660.0000   15    1   0   +0.2053  +0.7080   0.5027     z≠0
  Σ(1670)⁺        2  +1   35  1678.0000  -23    1   0   +0.2793  +0.8299   0.5506     z≠0
  Σ(1690)⁻        2  -1   35  1691.0000  -10    1   0   +0.2794  +0.8299   0.5504     z≠0
  Σ(1690)⁰        2  +0   38  1683.0000   43    1   0   +0.2783  +0.8004   0.5220     z≠0
  Σ(1690)⁺        2  +1   36  1705.0000   57    1   0   +0.2869  +0.8392   0.5523     z≠0
  Σ(1750)⁻        2  -1   43  1752.0000  -25    1   0   +0.3386  +0.9040   0.5654     z≠0
  Σ(1750)⁰        2  +0   41  1747.0000   34    1   0   +0.2985  +0.8251   0.5265     z≠0
  Σ(1750)⁺        2  +1   38  1750.0000    5    1   0   +0.3014  +0.8578   0.5564     z≠0
  Σ(1765)⁻        2  -1   45  1769.0000    9    1   0   +0.3524  +0.9224   0.5700     z≠0
  Σ(1765)⁰        2  +0   49  1766.0000   10    1   0   +0.3518  +0.8904   0.5386     z≠0
  Σ(1765)⁺        2  +1   46  1770.0000   -2    1   0   +0.3072  +0.9316   0.6244     z≠0
  Σ(1840)⁻        2  -1   50  1847.0000   19    1   0   +0.3889  +0.9682   0.5793     z≠0
  Σ(1840)⁰        2  +0   45  1844.0000   11    1   0   +0.3252  +0.8578   0.5326     z≠0
  Σ(1840)⁺        2  +1   51  1848.0000   47    1   0   +0.3937  +0.9773   0.5836     z≠0
  Σ(1880)⁻        2  -1   42  1884.0000   65    1   0   +0.3304  +0.8948   0.5644     z≠0
  Σ(1880)⁰        2  +0   57  1887.0000   61    1   0   +0.4049  +0.9552   0.5503     z≠0
  Σ(1880)⁺        2  +1   43  1885.0000    7    1   0   +0.4074  +0.9040   0.4966     z≠0
  Σ(1915)⁻        2  -1   53  1909.0000   28    1   0   +0.4085  +0.9956   0.5871     z≠0
  Σ(1915)⁰        2  +0   59  1923.0000   16    1   0   +0.4183  +0.9713   0.5530     z≠0
  Σ(1915)⁺        2  +1   54  1908.0000   24    1   0   +0.4151  +1.0047   0.5896     z≠0
  Σ(1940)⁻        2  -1   54  1932.0000   23    1   0   +0.4182  +1.0047   0.5865     z≠0
  Σ(1940)⁰        2  +0   60  1951.0000   44    1   0   +0.4248  +0.9794   0.5546     z≠0
  Σ(1940)⁺        2  +1   55  1931.0000  -10    1   0   +0.4223  +1.0138   0.5915     z≠0
  Σ(2000)⁻        2  -1   63  2003.0000    8    1   0   +0.4835  +1.0865   0.6029     z≠0
  Σ(2000)⁰        2  +0   70  2012.0000    1    1   0   +0.4906  +1.0598   0.5692     z≠0
  Σ(2000)⁺        2  +1   64  2002.0000  -45    1   0   +0.4864  +1.0955   0.6091     z≠0
  Σ(2030)⁻        2  -1   66  2035.0000   21    1   0   +0.4468  +1.1136   0.6668     z≠0
  Σ(2030)⁰        2  +0   72  2031.0000   12    1   0   +0.5047  +1.0758   0.5712     z≠0
  Σ(2030)⁺        2  +1   59  2031.0000    5    1   0   +0.5082  +1.0502   0.5420     z≠0
  Σ(2070)⁻        2  -1   68  2066.0000    2    1   0   +0.5203  +1.1317   0.6114     z≠0
  Σ(2070)⁰        2  +0   75  2071.0000   38    1   0   +0.5246  +1.0999   0.5753     z≠0
  Σ(2070)⁺        2  +1   69  2064.0000   40    1   0   +0.4579  +1.1408   0.6829     z≠0
  Σ(2080)⁻        2  -1   69  2083.0000    9    1   0   +0.5275  +1.1408   0.6133     z≠0
  Σ(2080)⁰        2  +0   76  2089.0000   29    1   0   +0.4621  +1.1079   0.6458     z≠0
  Σ(2080)⁺        2  +1   70  2074.0000   10    1   0   +0.5289  +1.1498   0.6210     z≠0
  Σ(2100)⁻        2  -1   70  2103.0000   31    1   0   +0.5329  +1.1498   0.6169     z≠0
  Σ(2100)⁰        2  +0   77  2106.0000   52    1   0   +0.4669  +1.1159   0.6490     z≠0
  Σ(2100)⁺        2  +1   71  2093.0000    6    1   0   +0.4665  +1.1589   0.6924     z≠0
  Σ(2250)⁻        2  -1   76  2243.0000  -12    1   0   +0.5787  +1.2040   0.6253     z≠0
  Σ(2250)⁰        2  +0   84  2250.0000   33    1   0   +0.5842  +1.1719   0.5877     z≠0
  Σ(2250)⁺        2  +1   78  2252.0000   35    1   0   +0.5859  +1.2221   0.6362     z≠0
  Σ(2455)⁻        2  -1   94  2444.0000   18    1   0   +0.7100  +1.3661   0.6561     z≠0
  Σ(2455)⁰        2  +0  104  2458.0000   56    1   1   -0.9173  -0.3738   0.5435     z≠0
  Σ(2455)⁺        2  +1   85  2455.0000    3    1   0   +0.6358  +1.2851   0.6493     z≠0
  Σ(2620)⁻        2  -1  110  2624.0000  -27    1   0   +0.8261  +1.5099   0.6838     z≠0
  Σ(2620)⁰        2  +0  121  2625.0000  -12    1   1   -0.9074  -0.4794   0.4280     z≠0
  Σ(2620)⁺        2  +1  103  2621.0000   26    1   0   +0.8305  +1.4470   0.6165     z≠0
  Σ(3000)⁻        2  -1  136  2994.0000  -85    1   0   +1.0160  +1.7431   0.7271     z≠0
  Σ(3000)⁰        2  +0  150  3001.0000   38    1   1   -0.9016  -0.6598   0.2417     z≠0
  Σ(3000)⁺        2  +1  140  3003.0000   12    1   0   +1.0271  +1.7789   0.7518     z≠0

  Classifications:
    z=0: 26 states
    z≠0: 119 states

z=0 branch sectors (predicted (a, b) per sector):
  P=0 q=+0 κ=0  (12 states)  a_pred=+0.0000  b_pred=+0.0070  max |Δf|=0.0015
    Λ(1405)        N=  22  Q=1  M=1403.400  f_imp=+0.1540  f_pred=+0.1540  Δf=+0.0000  ΔM=0.044
    Λ(1330)        N=  25  Q=1  M=1329.883  f_imp=+0.1745  f_pred=+0.1750  Δf=+0.0006  ΔM=0.000
    Λ(1520)        N=  37  Q=1  M=1516.342  f_imp=+0.2590  f_pred=+0.2590  Δf=+0.0000  ΔM=0.047
    Λ(1670)        N=  54  Q=1  M=1669.976  f_imp=+0.3781  f_pred=+0.3781  Δf=+0.0000  ΔM=0.052
    Λ(1690)        N=  55  Q=1  M=1693.283  f_imp=+0.3852  f_pred=+0.3851  Δf=+0.0001  ΔM=1.099
    Λ(1750)        N=  58  Q=1  M=1754.761  f_imp=+0.4061  f_pred=+0.4061  Δf=+0.0000  ΔM=0.054
    Λ(1815)        N=  70  Q=1  M=1815.496  f_imp=+0.4901  f_pred=+0.4901  Δf=+0.0001  ΔM=0.054
    Λ(1830)        N=  71  Q=1  M=1830.408  f_imp=+0.4955  f_pred=+0.4971  Δf=+0.0015  ΔM=0.022
    Λ(1860)        N=  73  Q=1  M=1864.631  f_imp=+0.5111  f_pred=+0.5111  Δf=+0.0000  ΔM=0.058
    Λ(1870)        N=  74  Q=1  M=1884.453  f_imp=+0.5182  f_pred=+0.5181  Δf=+0.0001  ΔM=0.007
    Λ(2100)        N=  94  Q=1  M=2095.953  f_imp=+0.6582  f_pred=+0.6581  Δf=+0.0001  ΔM=0.021
    Λ(2585)        N= 136  Q=1  M=2591.718  f_imp=+0.9519  f_pred=+0.9521  Δf=+0.0003  ΔM=0.008
  P=1 q=+0 κ=1  (5 states)  a_pred=+0.2030  b_pred=-0.0006  max |Δf|=0.0484
    Ξ(1530)⁰       N=   4  Q=1  M=1531.549  f_imp=+0.1578  f_pred=+0.1599  Δf=+0.0021  ΔM=0.144
    Ξ(1630)⁰       N=   7  Q=1  M=1621.584  f_imp=+0.1447  f_pred=+0.1733  Δf=+0.0285  ΔM=0.125
    N(1535)⁰       N=  18  Q=1  M=1533.979  f_imp=+0.1608  f_pred=+0.1811  Δf=+0.0203  ΔM=0.048
    N(1670)⁰       N=  23  Q=1  M=1657.954  f_imp=+0.2162  f_pred=+0.1801  Δf=+0.0360  ΔM=0.001
    N(1688)⁰       N=  24  Q=1  M=1694.369  f_imp=+0.2283  f_pred=+0.1799  Δf=+0.0484  ΔM=0.005
  P=1 q=+1 κ=1  (7 states)  a_pred=+0.3049  b_pred=+0.0031  max |Δf|=0.0476
    Ξ(1530)±       N=   2  Q=1  M=1534.763  f_imp=+0.1619  f_pred=+0.2095  Δf=+0.0476  ΔM=0.055
    Ξ(1630)±       N=   4  Q=1  M=1661.169  f_imp=+0.2152  f_pred=+0.2564  Δf=+0.0413  ΔM=0.052
    Ξ(1940)±       N=  13  Q=1  M=1945.258  f_imp=+0.3594  f_pred=+0.3238  Δf=+0.0356  ΔM=0.060
    N(1990)±       N=  35  Q=1  M=1989.703  f_imp=+0.3721  f_pred=+0.4059  Δf=+0.0339  ΔM=0.062
    N(2000)±       N=  39  Q=1  M=2001.971  f_imp=+0.4181  f_pred=+0.4193  Δf=+0.0012  ΔM=0.005
    N(2040)±       N=  41  Q=1  M=2034.632  f_imp=+0.3847  f_pred=+0.4259  Δf=+0.0412  ΔM=0.095
    N(2100)±       N=  44  Q=1  M=2120.589  f_imp=+0.4736  f_pred=+0.4358  Δf=+0.0378  ΔM=0.094
