Loaded 145 matched states

  symbol          (n,m,p,σ)                    σ    z    σ-z  conf    
  Σ(2030)⁰        (6, -13, -12, 3)            +3   +3     +0  PDG     
  Σ(2030)⁺        (6, -11, -12, 9)            +9   +3     +6  PDG     
  Σ(2080)⁻        (6, -2, -18, -3)            -3   +1     -4  approx  
  Σ(2080)⁰        (5, 15, 22, 32)            +32   +1    +31  approx  
  Σ(2080)⁺        (6, -3, -24, -12)          -12   +1    -13  approx  
  Σ(2100)⁻        (6, 0, -8, -12)            -12   +3    -15  PDG     
  Σ(2100)⁰        (5, 16, 17, 2)              +2   +3     -1  PDG     
  Σ(2100)⁺        (5, 16, -5, 17)            +17   +3    +14  PDG     

======================================================================
 σ ↔ z correlation per family:
======================================================================
  N*     n= 30  corr(σ, z) = -0.093   σ ≈ -1.057·z +5.369  RMSE=14.44
  Δ*     n=  7  corr(σ, z) = +0.152   σ ≈ +1.606·z +11.909  RMSE=17.13
  Λ*     n= 13  corr(σ, z) = +0.317   σ ≈ +2.841·z -6.536  RMSE=10.87
  Ξ*     n=  6  corr(σ, z) = +0.035   σ ≈ +1.000·z -3.500  RMSE=13.28
  Σ*     n= 36  corr(σ, z) = +0.063   σ ≈ +0.785·z +2.390  RMSE=13.30
