====================================================================================================
 Heim z=0 claim verification (J0032 p.27a)
====================================================================================================

Heim's claim: Tabellen IV (k=1) and V_{a,b,c} (k=2) assembled under
z(N) = 0 approximation, error < 0.1 MeV.  Named exceptions:
  ω(783) and η'(958) for k=1; N(1688) for k=2.

Loaded 145 baryon candidates, 36 meson candidates

=== k=1 mesonic resonances ===
  symbol          P  qx    N  Q₀   κ        ΔM   ΔKB      |Δf|  verdict
  N(3030)±        1  +1   85   1   0   +0.0942 +0.07    0.1285  FAIL
  N(3245)⁰        1  +0   95   1   0   +0.1004 +0.25    0.1237  FAIL
  N(3245)±        1  +1   90   1   0   +0.1003 +0.49    0.1286  FAIL
  N(3690)⁰        1  +0  119   1   0   +0.0329 +0.20    0.1239  FAIL
  N(3690)±        1  +1  113   1   0   +0.0448 +0.50    0.1288  FAIL
  N(3755)⁰        1  +0  113   1   0   +0.1072 +0.43    0.0011  FAIL
  N(3755)±        1  +1  115   1   0   +0.0863 +0.26    0.2306  FAIL
  Λ(1330)         0  +0   25   1   0   +0.0002 +0.31    0.0006  PASS
  Λ(1405)         0  +0   22   1   0   +0.0435 +0.17    0.0000  PASS
  Λ(1520)         0  +0   37   1   0   +0.0471 +0.20    0.0000  PASS
  Λ(1670)         0  +0   54   1   0   +0.0519 +0.23    0.0000  PASS
  Λ(1690)         0  +0   55   1   0   +1.0986 +0.16    0.0001  FAIL
  Λ(1750)         0  +0   58   1   0   +0.0545 +0.18    0.0000  PASS
  Λ(1815)         0  +0   70   1   0   +0.0539 +0.13    0.0001  PASS
  Λ(1830)         0  +0   71   1   0   +0.0219 +0.07    0.0015  PASS
  Λ(1860)         0  +0   73   1   0   +0.0579 +0.05    0.0000  PASS
  Λ(1870)         0  +0   74   1   0   +0.0072 +0.28    0.0001  PASS
  Λ(2010)         0  +0   87   1   0   +0.3300 +0.24    0.0511  FAIL
  Λ(2020)         0  +0   88   1   0   +0.0277 +0.23    0.0545  FAIL
  Λ(2100)         0  +0   94   1   0   +0.0213 +0.28    0.0001  PASS
  Λ(2110)         0  +0   84   1   0   +0.1537 +0.29    0.0765  FAIL
  Λ(2350)         0  +0  116   1   0   +0.1237 +0.30    0.0742  FAIL
  Λ(2585)         0  +0  136   1   0   +0.0085 +0.41    0.0003  PASS
  Ξ(1530)⁰        1  +0    4   1   1   +0.1444 +0.49    0.0021  FAIL
  Ξ(1530)±        1  +1    2   1   1   +0.0554 +0.20    0.0476  PASS
  Ξ(1630)⁰        1  +0    7   1   1   +0.1251 +0.10    0.0285  FAIL
  Ξ(1630)±        1  +1    4   1   1   +0.0515 +0.12    0.0413  PASS
  Ξ(1820)⁰        1  +0   16   1   0   +0.0567 +0.15    0.1221  FAIL
  Ξ(1820)±        1  +1   10   1   1   +0.0009 +0.08    0.0514  FAIL
  Ξ(1940)⁰        1  +0   19   1   0   +1.6050 +0.20    0.1264  FAIL
  Ξ(1940)±        1  +1   13   1   1   +0.0604 +0.33    0.0356  PASS
  Ξ(2030)⁰        1  +0   25   1   0   +0.0158 +0.08    0.1356  FAIL
  Ξ(2030)±        1  +1   19   1   1   +0.0633 +0.41    0.0935  FAIL
  Ξ(2250)⁰        1  +0   31   1   0   +0.0698 +0.03    0.1458  FAIL
  Ξ(2250)±        1  +1   24   1   1   +0.0186 +0.10    0.1426  FAIL
  Ξ(2500)⁰        1  +0   42   1   0   +0.0022 +0.11    0.1627  FAIL
  Ξ(2500)±        1  +1   35   1   0   +0.1790 +0.01    0.2400  FAIL
  Δ(1650)         3  +0   44   3   1   +0.0777 +0.20    0.5309  FAIL
  Δ(1670)         3  +0   48   3   1   +0.1309 +0.35    0.4586  FAIL
  Δ(1690)         3  +0   71   3   1   +0.1867 +0.07    0.3808  FAIL
  Δ(1890)         3  +0  124   3   1   +0.0755 +0.10    0.1031  FAIL
  Δ(1900)         3  +0  125   3   1   +0.0174 +0.32    0.1541  FAIL
  Δ(1910)         3  +0  129   3   1   +5.2431 +0.25    0.0803  FAIL
  Δ(1950)         3  +0  134   3   1   +0.2527 +0.40    0.0549  FAIL
  Δ(1960)         3  +0  137   3   1   +0.2211 +0.32    0.0412  FAIL
  Δ(2160)         3  +0  211   3   1   +0.1320 +0.47    0.2504  FAIL
  Δ(2420)         3  +0  302   3   1   +0.0831 +0.37    0.7425  FAIL
  Δ(2850)         3  +0  419   3   1   +0.8352 +0.48    1.3046  FAIL
  Δ(3230)         3  +0  572   3   1   +0.1710 +0.24    1.9763  FAIL
  Σ(1385)⁻        2  -1   13   1   0   +0.0075 +0.09    0.5474  FAIL
  Σ(1385)⁰        2  +0    6   1   0   +0.1910 +0.32    0.4237  FAIL
  Σ(1385)⁺        2  +1   13   1   0   +0.0884 +0.38    0.5431  FAIL
  Σ(1440)⁻        2  -1   16   1   0   +0.0216 +0.38    0.5655  FAIL
  Σ(1440)⁰        2  +0    8   1   0   +0.2874 +0.32    0.4416  FAIL
  Σ(1440)⁺        2  +1   16   1   0   +0.0703 +0.29    0.4998  FAIL
  Σ(1480)⁻        2  -1   18   1   0   +0.0745 +0.13    0.5101  FAIL
  Σ(1480)⁰        2  +0   20   1   0   +0.1969 +0.44    0.4893  FAIL
  Σ(1480)⁺        2  +1   18   1   0   +0.0437 +0.37    0.5067  FAIL
